,生育場所,,,,,"花期
（月）",特記,学名,標準和名,記載分布,,,,,,,,
77,,,,○,○,7〜8,,Oenanthe iavanica (Blume) DC.　,セリ,(全),互生,二回羽状複葉。小葉は菱形様,粗い鋸歯,複散形花序,5,白色,食,
78,,,,,○砂浜,8〜10,,Cnidium iaponicum Miq.,ハマゼリ,(海),ロゼット状。茎葉は互生,単羽状複葉。小葉は羽状,粗く不規則な切れ込み,複散形花序,5,白色,薬,
79,,,,,○砂浜,6〜7,,"Glehma littoralis Fr. Schm., ex Miq.",ハマボウフウ,(海),互生,1-2回3出複葉。小葉は倒卵状楕円形,不揃いな鋸歯,複散形花序,5,白色,食・薬,
80,,,,,○砂浜,4〜6,,Angelica japonica A. Gray　,ハマウド,(海),互生,1〜2回3出羽状複葉。小葉は卵状楕円形,細かい鋸歯,複散形花序,5,白色,非毒。苦い,
81,,,,,○砂浜,7〜9,,Peucedanum japomcum Thunb.　,ボタンボウフウ,(海),互生,1〜2回3出羽状複葉。小葉は倒卵形,粗い切れ込み,複散形花序,5,白色,食・薬,
82,,,,,○,4〜5,,Rhododendron ripense Makmo　,キシツツジ,(匹)(吉),互生,春葉は長い楕円形。夏葉は披針形〜倒披針形,毛,枝先に1〜3個,合5裂,淡紅紫色,不明,
83,,,,,○,6〜8,,Lysimachia vulgaris Linn. var. davurica(Ledeb.)R.Knuth　,クサレダマ,(匹)(津),対生または3-4枚が輪生,披針形または狭長楕円形。先端は鋭くとがる,全縁,円錐花序,合5深裂,黄色,不明,
84,,,,,○,7〜8,,Lysimachia fortunei Maxim.　,ヌマトラノオ,(匹)(津),互生,倒披針状長楕円形。先は細くとがる,全縁,総状花序,合5深裂,白色,不明,
85,,,,,○砂浜,5〜6,,Lysimachia mauritiana Lamarck,ハマボッス,(海),互生,倒卵形または倒披針形,全縁,総状花序,合5深裂,白色,不明,
86,,,,,○,5〜6,,Symplocos chinensis (Lour.) Druce forma pilosa (Nakai)　Ohwi　,サワフタギ,(匹)(横)(椛)(吉),互生,倒卵形〜楕円形,細鋸歯,円錐花序,合5深裂,白色,不明,
87,,,,,○,5〜6,,Styrax japonica Sieb. et Zucc.,エゴノキ,(全),互生,両端のとがった楕円形,細鋸歯,枝先に1〜4個,合5深裂,白色,毒,
88,,,,,○,9〜10,,"Sivertia bimaculata (Sieb. et Zucc.) Hook, et Thorns.",アケボノソウ,(匹)(津),対生,長卵形,全縁,複総状,合5深裂,白色,不明,
